ts,Tsurf,Csurf,Tc,Cc,jw,W,Tamb,Camb
1047.0,305.6704363975104,2.5486376688392927,303.0422146701696,2.5499999991879285,3.2146898803558974e-09,0.7400895902897302,309.82484999999997,0.0275945
1048.0,305.6764408181012,2.548636675237141,303.04628917778507,2.54999999917668,3.2155680234649485e-09,0.7400894969661967,309.8367333333333,0.027604666666666666
1049.0,305.6824616813438,2.5486356812568687,303.0503666327436,2.5499999991652977,3.2164736735103256e-09,0.7400894036167116,309.84861666666666,0.027614833333333335
1050.0,305.6884984947591,2.5486346868316136,303.05444703282524,2.549999999153779,3.217406119565999e-09,0.7400893102403874,309.8605,0.027625
1051.0,305.69455076586803,2.5486336918945236,303.05853037581005,2.5499999991421234,3.2183646498115975e-09,0.7400892168363357,309.8723833333333,0.027635166666666666
1052.0,305.70061915203394,2.5486326965159174,303.06261665227515,2.5499999991303293,3.2193502712329845e-09,0.7400891234044785,309.88426666666663,0.027645333333333334
1053.0,305.706702931796,2.548631700601627,303.066705861435,2.549999999118395,3.2203619293392328e-09,0.7400890299437667,309.89615,0.0276555
1054.0,305.7128015287172,2.5486307040747915,303.0707980015956,2.549999999106319,3.2213987853190377e-09,0.7400889364532535,309.9080333333333,0.02766566666666667
1055.0,305.71891456551793,2.5486297068823163,303.07489306981535,2.5499999990941005,3.2224602974380315e-09,0.7400888429321324,309.91991666666667,0.027675833333333334
1056.0,305.72504166491865,2.5486287089711093,303.07899106315267,2.5499999990817384,3.2235459232713787e-09,0.7400887493795967,309.93179999999995,0.027686
1057.0,305.7311828531568,2.5486277103371284,303.08309197501194,2.5499999990692306,3.224655724220893e-09,0.7400886557951439,309.9436833333333,0.027696166666666668
1058.0,305.73733845872863,2.5486267110130667,303.0871957960605,2.549999999056576,3.2257902147792393e-09,0.7400885621785012,309.95556666666664,0.027706333333333333
1059.0,305.7435076806576,2.548625710894343,303.0913025271935,2.5499999990437723,3.2269482169278746e-09,0.7400884685285409,309.96745,0.0277165
1060.0,305.7496902422489,2.5486247099401007,303.0954121645585,2.5499999990308195,3.228129337325544e-09,0.7400883748445332,309.97933333333333,0.027726666666666667
1061.0,305.75588586680766,2.5486237081094902,303.0995247043031,2.5499999990177153,3.229333182127067e-09,0.7400882811257471,309.9912166666667,0.027736833333333332
1062.0,305.7620942776391,2.548622705361665,303.10364014257493,2.549999999004459,3.2305593569805167e-09,0.7400881873714517,310.00309999999996,0.027747
1063.0,305.7683159737747,2.5486217017522703,303.10775846450395,2.5499999989910473,3.231808631548122e-09,0.7400880935815838,310.0149833333333,0.027757166666666666
1064.0,305.7745503845484,2.5486206972038925,303.1118796704129,2.5499999989774804,3.2330801701836245e-09,0.7400879997551598,310.02686666666665,0.027767333333333335
1065.0,305.7807972476174,2.548619691677474,303.1160037562456,2.5499999989637563,3.234373599297549e-09,0.7400879058914612,310.03875,0.0277775
1066.0,305.7870563536252,2.5486186851405543,303.12013071719326,2.5499999989498736,3.2356886244390843e-09,0.7400878119898154,310.0506333333333,0.027787666666666665
1067.0,305.7933274932152,2.5486176775606717,303.12426054844695,2.5499999989358306,3.2370249507756687e-09,0.7400877180495498,310.0625166666666,0.027797833333333334
1068.0,305.7996108091308,2.548616668950608,303.12839323714866,2.549999998921626,3.238382812586632e-09,0.7400876240703665,310.07439999999997,0.027808
1069.0,305.80590633980677,2.5486156593097427,303.1325287728246,2.549999998907257,3.2397622875802304e-09,0.7400875300518579,310.0862833333333,0.027818166666666668
1070.0,305.8122135779315,2.5486146485673355,303.13666715747763,2.5499999988927238,3.241162632322145e-09,0.7400874359930328,310.09816666666666,0.027828333333333333
1071.0,305.818532345766,2.5486136366949967,303.1408083855761,2.549999998878024,3.2425835985033094e-09,0.7400873418932524,310.11005,0.0278385
1072.0,305.8248624655712,2.5486126236643365,303.1449524515884,2.549999998863156,3.244024937489498e-09,0.7400872477518775,310.1219333333333,0.027848666666666667
1073.0,305.83120375960783,2.5486116094469704,303.1490993499828,2.549999998848119,3.245486400320252e-09,0.7400871535682693,310.13381666666663,0.027858833333333333
1074.0,305.8375560501369,2.548610594014515,303.1532490752278,2.5499999988329107,3.2469677377062715e-09,0.7400870593417883,310.1457,0.027869
1075.0,305.8439191594193,2.5486095773385884,303.1574016217917,2.5499999988175306,3.248468700027909e-09,0.7400869650717958,310.1575833333333,0.027879166666666667
1076.0,305.85029132740794,2.5486085591220045,303.16155697981725,2.5499999988019755,3.249986650559447e-09,0.7400868707561741,310.16946666666666,0.027889333333333332
1077.0,305.85666966061024,2.5486075388750544,303.16571513634887,2.5499999987862445,3.2515172386044397e-09,0.740086776391746,310.18134999999995,0.0278995
1078.0,305.8630552516289,2.548606516785213,303.16987608932754,2.549999998770336,3.2530621242730205e-09,0.7400866819790599,310.1932333333333,0.027909666666666666
1079.0,305.8694474192656,2.548605492738619,303.17403983184533,2.549999998754248,3.254620291568047e-09,0.7400865875170064,310.20511666666664,0.027919833333333335
1080.0,305.87584548232206,2.5486044666214207,303.1782063569944,2.5499999987379796,3.256190723072652e-09,0.7400864930044755,310.217,0.02793
1081.0,305.88219068354323,2.5486034043210006,303.1823756557207,2.5499999987215283,3.261386201182989e-09,0.7400863984088808,310.2228666666666,0.0279355
1082.0,305.8884268471609,2.54860232213331,303.18654771868853,2.5499999987048922,3.266420168741585e-09,0.7400863036794657,310.2287333333333,0.027941
1083.0,305.89459250690703,2.5486012211182993,303.1907225396844,2.5499999986880706,3.27135066908803e-09,0.7400862087995085,310.2346,0.0279465
1084.0,305.90071604887976,2.5486001066954405,303.1949001119186,2.549999998671061,3.276220537697452e-09,0.7400861137721981,310.24046666666663,0.027952
1085.0,305.90680444096915,2.5485989817333907,303.1990804275783,2.5499999986538615,3.2810402715902434e-09,0.7400860186038094,310.2463333333333,0.0279575
1086.0,305.91286291342686,2.5485978475413402,303.20326348062804,2.549999998636471,3.2858177393502773e-09,0.7400859232967766,310.25219999999996,0.027963000000000002
1087.0,305.9188949687503,2.5485967048744183,303.20744926204594,2.5499999986188864,3.2905582016748258e-09,0.7400858278521756,310.25806666666665,0.0279685
1088.0,305.92490121410424,2.5485955538814453,303.21163777014334,2.5499999986011077,3.295262540064453e-09,0.7400857322702331,310.2639333333333,0.027974
1089.0,305.93088586112754,2.5485943955926365,303.21582899304434,2.5499999985831323,3.299937101093189e-09,0.7400856365525069,310.2698,0.0279795
1090.0,305.9368495485104,2.548593230176743,303.2200229263449,2.5499999985649584,3.3045828222019762e-09,0.7400855406993726,310.27566666666667,0.027985
1091.0,305.94279383381945,2.5485920580250294,303.22421956364667,2.549999998546585,3.3092020359153595e-09,0.7400854447115259,310.2815333333333,0.0279905
1092.0,305.9487212978712,2.5485908797683114,303.2284188981238,2.5499999985280097,3.313798630363618e-09,0.7400853485899278,310.2874,0.027996
1093.0,305.9546334023238,2.5485896957743783,303.232620923238,2.5499999985092305,3.318374800270424e-09,0.7400852523352778,310.2932666666666,0.0280015
1094.0,305.9605292883356,2.548588505864104,303.23682563274787,2.549999998490246,3.3229292203306366e-09,0.7400851559477812,310.2991333333333,0.028007
1095.0,305.96641166503923,2.5485873106992596,303.2410330199554,2.5499999984710544,3.3274659821781375e-09,0.7400850594284032,310.30499999999995,0.0280125
1096.0,305.97228197664555,2.5485861106434697,303.2452430783245,2.5499999984516535,3.3319872611538123e-09,0.7400849627778397,310.31086666666664,0.028018
1097.0,305.97813897422947,2.548584905400711,303.24945580326914,2.549999998432041,3.3364911425883656e-09,0.740084865996076,310.31673333333333,0.0280235
1098.0,305.9839840743281,2.5485836953278174,303.2536711882731,2.549999998412216,3.3409797614997905e-09,0.7400847690838006,310.32259999999997,0.028029
1099.0,305.98981841360575,2.5485824807130584,303.257889227023,2.5499999983921757,3.3454548300756974e-09,0.7400846720416281,310.32846666666666,0.0280345
1100.0,305.99564210750697,2.5485812615897077,303.26210991496185,2.549999998371919,3.3499165092126385e-09,0.7400845748698234,310.3343333333333,0.02804
1101.0,306.0014550628812,2.548580037938601,303.2663332479666,2.549999998351443,3.354364642622559e-09,0.7400844775685733,310.3402,0.0280455
1102.0,306.00725829847653,2.5485788100200963,303.2705592196014,2.549999998330746,3.3588007664051896e-09,0.7400843801384784,310.3460666666666,0.028051
1103.0,306.01305223293906,2.548577577943094,303.27478782526657,2.5499999983098265,3.3632255048608698e-09,0.740084282579886,310.3519333333333,0.0280565
1104.0,306.0188364324354,2.548576341598288,303.2790190660724,2.5499999982886825,3.367638184595331e-09,0.7400841848926325,310.3578,0.028062
1105.0,306.0246119243925,2.5485751012503988,303.2832529333417,2.549999998267311,3.3720403579187456e-09,0.7400840870774316,310.36366666666663,0.0280675
1106.0,306.0303791555344,2.5485738570155014,303.28748942228697,2.5499999982457116,3.376432694029957e-09,0.7400839891346476,310.3695333333333,0.028073
1107.0,306.03613857258523,2.548572609009663,303.29172852812036,2.5499999982238815,3.3808158629952066e-09,0.7400838910646461,310.37539999999996,0.0280785
1108.0,306.04189062226925,2.548571357348944,303.2959702460543,2.5499999982018187,3.3851905357453166e-09,0.7400837928677915,310.38126666666665,0.028084
1109.0,306.0476345184318,2.5485701018335094,303.30021458390075,2.549999998179521,3.3895555031716456e-09,0.7400836945436343,310.3871333333333,0.0280895
1110.0,306.05337124303554,2.5485688427165574,303.3044615314021,2.549999998156986,3.39391225298723e-09,0.7400835960928933,310.393,0.028095000000000002
1111.0,306.05910115880226,2.5485675800926177,303.3087110846291,2.5499999981342127,3.3982613294715968e-09,0.7400834975158773,310.39886666666666,0.0281005
1112.0,306.0648246029612,2.548566314049678,303.31296323991324,2.5499999981111983,3.4026032386740346e-09,0.7400833988128791,310.4047333333333,0.028106
1113.0,306.0705419127419,2.548565044675726,303.3172179935857,2.5499999980879413,3.406938487292968e-09,0.7400832999841912,310.4106,0.0281115
1114.0,306.0762525358135,2.5485637718309766,303.3214753544733,2.549999998064439,3.4112662234267815e-09,0.7400832010295146,310.4164666666666,0.028117
1115.0,306.0819569467929,2.548562495638593,303.3257353169775,2.5499999980406893,3.4155871637901014e-09,0.7400831019492328,310.4223333333333,0.0281225
1116.0,306.08765554328124,2.5485612162020104,303.32999787658156,2.5499999980166907,3.4199019082525704e-09,0.7400830027436787,310.42819999999995,0.028128
1117.0,306.0933485633054,2.5485599335838067,303.33426303101044,2.549999997992441,3.424210813385825e-09,0.7400829034130785,310.43406666666664,0.0281335
1118.0,306.09903624489215,2.5485586478465523,303.33853077798875,2.5499999979679373,3.4285142362170645e-09,0.7400828039576594,310.43993333333333,0.028139
1119.0,306.10471837335666,2.5485573589363586,303.34280112546236,2.549999997943178,3.432811841405894e-09,0.740082704377312,310.44579999999996,0.0281445
1120.0,306.1103950661955,2.5485560668847906,303.34707407387714,2.5499999979181602,3.437103801729935e-09,0.7400826046721741,310.45166666666665,0.02815
1121.0,306.116066683857,2.5485547717859074,303.3513496181941,2.5499999978928827,3.441390662232607e-09,0.7400825048425622,310.4575333333333,0.0281555
