audit_ok,clear_ratio,cleared,complete_proof,completion_kind,error,exit_per_source_s,exit_s,full_clear,index,last_clear_per_source_s,last_clear_s,n_clear_failure,n_clear_success,n_measure,n_rejected,n_sources,n_switch,policy,scenario,seed,split,status,t_clear_s,t_measure_s,t_switch_s,t_travel_s,tail_s,trace_file,travel_m,wall_s,wall_within_1200s
True,1.0,14,True,continuous_cell,,200.8902384788735,2812.463338704229,True,2,200.8902384788735,2812.463338704229,4,14,109,0,14,104,joint_no_probability_gate,random,2026091394,ablation,ok,82.0,545.0,104.0,2081.463338704228,0.0,traces/ablation_random_002_2026091394_joint_no_probability_gate.json,10407.316693521141,0.784980058670044,True
True,1.0,14,True,continuous_cell,,202.43269681717268,2834.0577554404176,True,2,202.43269681717268,2834.0577554404176,4,14,109,0,14,104,joint_single_plan,random,2026091394,ablation,ok,82.0,545.0,104.0,2103.0577554404176,0.0,traces/ablation_random_002_2026091394_joint_single_plan.json,10515.288777202088,0.2508208751678467,True
True,1.0,13,True,continuous_cell,,229.94613218651077,2989.29971842464,True,3,229.94613218651077,2989.29971842464,3,13,140,0,13,138,joint_no_after_service,random,2026091491,ablation,ok,74.0,700.0,138.0,2077.2997184246406,0.0,traces/ablation_random_003_2026091491_joint_no_after_service.json,10386.498592123204,0.4233059883117676,True
True,1.0,13,True,continuous_cell,,241.3327698902636,3137.326008573427,True,3,223.9552103505212,2911.417734556776,5,13,150,0,13,144,joint_no_cover_polish,random,2026091491,ablation,ok,80.0,750.0,144.0,2163.326008573427,225.90827401665092,traces/ablation_random_003_2026091491_joint_no_cover_polish.json,10816.630042867135,0.3101460933685303,True
True,1.0,13,True,continuous_cell,,238.76829939548492,3103.9878921413037,True,3,238.76829939548492,3103.9878921413037,5,13,156,0,13,147,joint_no_probability_gate,random,2026091491,ablation,ok,80.0,780.0,147.0,2096.987892141304,0.0,traces/ablation_random_003_2026091491_joint_no_probability_gate.json,10484.93946070652,0.44463205337524414,True
True,1.0,13,True,continuous_cell,,248.64537785396536,3232.3899121015497,True,3,248.64537785396536,3232.3899121015497,3,13,162,0,13,155,joint_single_plan,random,2026091491,ablation,ok,74.0,810.0,155.0,2193.3899121015497,0.0,traces/ablation_random_003_2026091491_joint_single_plan.json,10966.949560507748,0.19742202758789062,True
True,1.0,14,True,continuous_cell,,223.5558794771699,3129.7823126803787,True,4,223.5558794771699,3129.7823126803787,3,14,129,0,14,125,joint_no_after_service,random,2026091588,ablation,ok,79.0,645.0,125.0,2280.7823126803787,0.0,traces/ablation_random_004_2026091588_joint_no_after_service.json,11403.911563401894,0.7887039184570312,True
True,1.0,14,True,continuous_cell,,219.47781285276423,3072.6893799386994,True,4,216.90638428133568,3036.6893799386994,3,14,128,0,14,118,joint_no_cover_polish,random,2026091588,ablation,ok,79.0,640.0,118.0,2235.6893799386994,36.0,traces/ablation_random_004_2026091588_joint_no_cover_polish.json,11178.446899693497,0.30405497550964355,True
True,1.0,14,True,continuous_cell,,221.66860088424824,3103.3604123794753,True,4,219.09717231281965,3067.3604123794753,4,14,132,0,14,122,joint_no_probability_gate,random,2026091588,ablation,ok,82.0,660.0,122.0,2239.360412379475,36.0,traces/ablation_random_004_2026091588_joint_no_probability_gate.json,11196.802061897373,0.7078750133514404,True
True,1.0,14,True,continuous_cell,,223.61251394089103,3130.5751951724747,True,4,221.04108536946248,3094.5751951724747,4,14,139,0,14,127,joint_single_plan,random,2026091588,ablation,ok,82.0,695.0,127.0,2226.5751951724733,36.0,traces/ablation_random_004_2026091588_joint_single_plan.json,11132.875975862366,0.263225793838501,True
True,1.0,13,True,continuous_cell,,223.97853433414124,2911.720946343836,True,5,223.97853433414124,2911.720946343836,3,13,113,0,13,108,joint_no_after_service,random,2026091685,ablation,ok,74.0,565.0,108.0,2164.7209463438376,0.0,traces/ablation_random_005_2026091685_joint_no_after_service.json,10823.604731719188,0.8908276557922363,True
True,1.0,13,True,continuous_cell,,240.82308883743778,3130.700154886691,True,5,216.56646296571017,2815.364018554232,2,13,135,0,13,129,joint_no_cover_polish,random,2026091685,ablation,ok,71.0,675.0,129.0,2255.700154886691,315.33613633245886,traces/ablation_random_005_2026091685_joint_no_cover_polish.json,11278.500774433454,0.3663597106933594,True
True,1.0,13,True,continuous_cell,,224.35238126458873,2916.5809564396536,True,5,224.35238126458873,2916.5809564396536,0,13,118,0,13,113,joint_no_probability_gate,random,2026091685,ablation,ok,65.0,590.0,113.0,2148.580956439654,0.0,traces/ablation_random_005_2026091685_joint_no_probability_gate.json,10742.904782198271,0.825192928314209,True
True,1.0,13,True,continuous_cell,,221.01188592337033,2873.1545170038144,True,5,221.01188592337033,2873.1545170038144,0,13,107,0,13,103,joint_single_plan,random,2026091685,ablation,ok,65.0,535.0,103.0,2170.1545170038153,0.0,traces/ablation_random_005_2026091685_joint_single_plan.json,10850.772585019076,0.2768070697784424,True
True,1.0,11,True,continuous_cell,,250.8338712483236,2759.1725837315594,True,6,222.47119009975788,2447.1830910973367,1,11,130,0,11,128,joint_no_after_service,random,2026091782,ablation,ok,58.0,650.0,128.0,1923.1725837315596,311.98949263422264,traces/ablation_random_006_2026091782_joint_no_after_service.json,9615.862918657798,0.5999200344085693,True
