x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
360.0,-1320.0,1368.2105,285.2551,88.112714,88.112714,1.0,1.0,29.726125,136.347605,88.195937,88.195937,1.0,300,1,0
390.0,-1320.0,1376.4084,286.46,86.501544,86.501544,1.0,1.0,30.021626,133.595513,86.175567,86.175567,1.0,300,1,0
420.0,-1320.0,1385.2076,287.6501,84.946949,84.946949,1.0,1.0,30.340926,130.897758,84.521905,84.521905,1.0,300,1,0
450.0,-1320.0,1394.5967,288.8247,83.449791,83.449791,1.0,1.0,30.684024,128.254448,82.983259,82.983259,1.0,300,1,0
480.0,-1320.0,1404.564,289.9831,82.010974,82.010974,1.0,1.0,31.050922,125.665686,80.434086,80.434086,1.0,300,1,0
510.0,-1320.0,1415.0972,291.1247,80.631436,80.631436,1.0,1.0,31.441617,123.131569,82.268159,82.268159,1.0,300,1,0
540.0,-1320.0,1426.1837,292.249,79.312159,79.312159,1.0,1.0,31.856112,120.652189,79.104713,79.104713,1.0,300,1,0
570.0,-1320.0,1437.8108,293.3556,78.054163,78.054163,1.0,1.0,32.294405,118.227628,78.94455,78.94455,1.0,300,1,0
600.0,-1320.0,1449.9655,294.444,76.858507,76.858507,1.0,1.0,32.756498,115.85796,78.382522,78.382522,1.0,300,1,0
630.0,-1320.0,1462.6346,295.5139,75.726286,75.726286,1.0,1.0,33.242388,113.543249,75.883747,75.883747,1.0,300,1,0
660.0,-1320.0,1475.8049,296.5651,74.658629,74.658629,1.0,1.0,33.752078,111.283545,72.121499,72.121499,1.0,300,1,0
690.0,-1320.0,1489.463,297.5973,73.656695,73.656695,1.0,1.0,34.285566,109.078885,74.058539,74.058539,1.0,300,1,0
720.0,-1320.0,1503.5957,298.6105,72.721678,72.721678,1.0,1.0,34.842853,106.92929,73.222799,73.222799,1.0,300,1,0
750.0,-1320.0,1518.1897,299.6045,71.854773,71.854773,1.0,1.0,35.423939,104.834763,71.882832,71.882832,1.0,300,1,0
780.0,-1320.0,1533.2319,300.5792,71.0572,71.0572,1.0,1.0,36.028824,102.795289,71.64012,71.64012,1.0,300,1,0
