x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
-80.0,-1740.0,1741.8381,267.3676,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-60.0,-1740.0,1741.0342,268.0251,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-40.0,-1740.0,1740.4597,268.6831,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-20.0,-1740.0,1740.1149,269.3415,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
0.0,-1740.0,1740.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
20.0,-1740.0,1740.1149,270.6585,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
40.0,-1740.0,1740.4597,271.3169,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
60.0,-1740.0,1741.0342,271.9749,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
80.0,-1740.0,1741.8381,272.6324,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
100.0,-1740.0,1742.8712,273.2892,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
120.0,-1740.0,1744.133,273.9452,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
140.0,-1740.0,1745.6231,274.6001,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
160.0,-1740.0,1747.3408,275.2538,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
180.0,-1740.0,1749.2856,275.9061,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
200.0,-1740.0,1751.4565,276.5569,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
220.0,-1740.0,1753.8529,277.2061,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
240.0,-1740.0,1756.4737,277.8533,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
260.0,-1740.0,1759.318,278.4986,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
280.0,-1740.0,1762.3847,279.1416,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
300.0,-1740.0,1765.6727,279.7824,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
320.0,-1740.0,1769.1806,280.4207,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
340.0,-1740.0,1772.9072,281.0564,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
360.0,-1740.0,1776.8511,281.6894,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
380.0,-1740.0,1781.0109,282.3194,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
400.0,-1740.0,1785.3851,282.9465,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
420.0,-1740.0,1789.9721,283.5704,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
440.0,-1740.0,1794.7702,284.1911,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
460.0,-1740.0,1799.7778,284.8084,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-520.0,-1720.0,1796.8862,253.1786,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-500.0,-1720.0,1791.2007,253.791,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-480.0,-1720.0,1785.7211,254.4072,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-460.0,-1720.0,1780.4494,255.0271,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-440.0,-1720.0,1775.3873,255.6507,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-420.0,-1720.0,1770.5366,256.2777,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-400.0,-1720.0,1765.8992,256.9081,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-380.0,-1720.0,1761.4767,257.5418,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-360.0,-1720.0,1757.2706,258.1785,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-340.0,-1720.0,1753.2826,258.8182,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-320.0,-1720.0,1749.5142,259.4608,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1720.0,1745.9668,260.1061,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-280.0,-1720.0,1742.6417,260.7539,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-260.0,-1720.0,1739.5402,261.4041,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1720.0,1736.6635,262.0565,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-220.0,-1720.0,1734.0127,262.711,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
