x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
300.0,-1680.0,1706.5755,280.1247,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
330.0,-1680.0,1712.104,281.113,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
360.0,-1680.0,1718.1385,282.0948,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
390.0,-1680.0,1724.6739,283.0693,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
420.0,-1680.0,1731.7044,284.0362,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
450.0,-1680.0,1739.224,284.9951,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
480.0,-1680.0,1747.2264,285.9454,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
510.0,-1680.0,1755.705,286.8868,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
540.0,-1680.0,1764.6529,287.8189,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
570.0,-1680.0,1774.0631,288.7413,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
600.0,-1680.0,1783.9282,289.6538,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
630.0,-1680.0,1794.2408,290.556,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-690.0,-1650.0,1788.463,247.3062,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-660.0,-1650.0,1777.1044,248.1986,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-630.0,-1650.0,1766.1823,249.1022,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-600.0,-1650.0,1755.705,250.0169,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-570.0,-1650.0,1745.6804,250.9423,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-540.0,-1650.0,1736.1164,251.8781,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
